filename,xmin,ymin,xmax,ymax,fracture_visible
0001_1297860395_01_WRI-L1_M014.png,1,577,55,641,
0001_1297860435_01_WRI-L2_M014.png,31,680,84,745,1
0001_1297860435_01_WRI-L2_M014.png,180,428,356,508,
0001_1297860435_01_WRI-L2_M014.png,286,398,405,732,
0002_0354485735_01_WRI-R1_F012.png,459,599,488,673,1
0002_0354485759_01_WRI-R2_F012.png,368,111,403,150,1
0003_0662359226_01_WRI-R1_M011.png,645,86,690,152,1
0003_0662359226_01_WRI-R1_M011.png,210,661,335,731,1
0003_0662359226_01_WRI-R1_M011.png,404,699,474,777,1
0003_0662359351_01_WRI-R2_M011.png,453,568,504,640,1
0003_0662359351_01_WRI-R2_M011.png,175,625,267,713,
0003_0662359351_01_WRI-R2_M011.png,213,627,288,715,
0003_0663715732_02_WRI-R1_M011.png,42,862,69,897,
0003_0663715732_02_WRI-R1_M011.png,191,546,320,621,1
0003_0663715732_02_WRI-R1_M011.png,389,522,468,583,1
0003_0663715782_02_WRI-R2_M011.png,520,1034,552,1070,1
0003_0663715782_02_WRI-R2_M011.png,321,575,404,654,
0003_0664918633_03_WRI-R1_M011.png,408,168,460,238,
0003_0664918633_03_WRI-R1_M011.png,99,439,220,535,1
0003_0664918633_03_WRI-R1_M011.png,300,466,371,532,1
0003_0664918633_03_WRI-R1_M011.png,290,426,315,694,
0003_0664918693_03_WRI-R2_M011.png,347,450,369,476,
0003_0664918693_03_WRI-R2_M011.png,366,502,389,564,1
0003_0664918693_03_WRI-R2_M011.png,163,502,255,595,1
0003_0664918693_03_WRI-R2_M011.png,241,574,257,745,
0004_0542630449_01_WRI-L1_M003.png,26,304,69,378,
0004_0542630513_01_WRI-L2_M003.png,35,222,80,296,
0005_0073601946_01_WRI-R1_F014.png,516,1180,549,1217,1
0005_0073601967_01_WRI-R2_F014.png,444,1185,480,1225,
0005_0073601967_01_WRI-R2_F014.png,295,503,443,601,
0006_0290481819_01_WRI-R2_M011.png,482,1080,517,1126,1
0006_0290481819_01_WRI-R2_M011.png,522,1152,548,1221,1
0006_0290481819_01_WRI-R2_M011.png,285,612,393,695,1
0006_0290481819_01_WRI-R2_M011.png,233,541,323,822,1
0006_0290481856_01_WRI-R1_M011.png,499,1043,526,1109,1
0006_0290481856_01_WRI-R1_M011.png,471,951,499,989,1
0006_0290481856_01_WRI-R1_M011.png,113,526,260,618,1
0007_0812696320_01_WRI-R1_M015.png,560,135,577,158,1
0007_0812696320_01_WRI-R1_M015.png,561,115,588,192,
0007_0812696396_01_WRI-R2_M015.png,489,144,533,215,
0008_1128992395_01_WRI-L1_M005.png,383,813,408,849,
0008_1128992395_01_WRI-L1_M005.png,221,476,336,524,
0008_1128992441_01_WRI-L2_M005.png,282,755,305,791,
0008_1128992441_01_WRI-L2_M005.png,97,388,187,449,1
0009_1112587669_01_WRI-R1_F013.png,525,836,555,869,
0009_1112587738_01_WRI-R2_F013.png,312,848,344,885,
0010_0604034401_01_WRI-L1_M014.png,28,979,73,1057,1
0010_0604034401_01_WRI-L1_M014.png,305,769,442,884,
0010_0604034442_01_WRI-L2_M014.png,0,983,32,1046,
0010_0604034442_01_WRI-L2_M014.png,134,747,239,878,
0011_0397077467_01_WRI-L1_M009.png,96,190,118,221,1
0011_0397077508_01_WRI-L2_M009.png,241,769,262,802,1
0012_0542128196_01_WRI-L1_M013.png,452,746,470,773,1
0012_0542128240_01_WRI-L2_M013.png,410,758,429,787,1
0012_0542128240_01_WRI-L2_M013.png,222,512,396,595,
